Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
apply for jobseekers allowance,49,1.24,2.04%,4.92%,00:04:27,4.10
better off,49,1.22,14.29%,45.00%,00:03:45,2.35
Borneo,49,1.12,10.20%,27.27%,00:02:01,2.24
br1,49,1.49,16.33%,23.29%,00:03:00,2.69
Business link,49,1.27,26.53%,17.74%,00:04:24,2.88
Change driving test,49,1.14,2.04%,7.14%,00:02:40,2.00
cleaners,49,1.33,20.41%,18.46%,00:02:21,1.45
contact dsa,49,1.06,4.08%,26.92%,00:03:47,2.45
contact income support,49,1.22,10.20%,13.33%,00:02:28,2.63
cv writing,49,1.14,67.35%,16.07%,00:01:06,0.69
debt relief order,49,1.29,12.24%,25.40%,00:04:02,2.98
drivers cpc,49,1.16,10.20%,5.26%,00:02:52,2.22
e1 11,49,1.20,22.45%,55.93%,00:01:11,1.22
Ehic card,49,1.04,67.35%,11.76%,00:01:20,0.37
el salvador,49,1.18,2.04%,46.55%,00:03:11,3.45
ESA3,49,1.49,10.20%,34.25%,00:02:42,3.35
esa50 01/13,49,1.33,8.16%,40.00%,00:03:33,3.14
ET1,49,1.24,8.16%,29.51%,00:01:50,1.31
EU,49,1.16,6.12%,54.39%,00:03:00,2.71
Eu programme 2014-2020,49,1.14,97.96%,0.00%,00:00:32,0.20
flexible support fund,49,1.57,44.90%,23.38%,00:03:01,2.96
game plan,49,1.37,38.78%,22.39%,00:00:57,0.88
garden leave,49,1.12,16.33%,27.27%,00:01:57,3.24
guidelines,49,1.14,10.20%,71.43%,00:02:23,1.00
healthy lives healthy people,49,1.33,6.12%,29.23%,00:03:05,1.53
hours of work,49,1.22,8.16%,53.33%,00:02:50,3.02
industrial injuries disablement benefit,49,1.18,2.04%,20.69%,00:04:05,5.47
Jamaica,49,1.10,8.16%,42.59%,00:03:06,2.31
job profiles,49,1.33,38.78%,27.69%,00:01:06,1.02
job seach,49,1.20,8.16%,11.86%,00:02:29,1.57
jury,49,1.12,10.20%,16.36%,00:04:03,4.69
l plates,49,1.43,10.20%,22.86%,00:02:27,1.86
letters and sounds,49,1.39,10.20%,14.71%,00:01:28,1.86
listed buildings,49,1.27,24.49%,20.97%,00:02:47,1.29
magistrate,49,1.22,8.16%,10.00%,00:03:03,3.24
maintenance loan,49,1.10,12.24%,14.81%,00:05:38,6.84
majorca,49,1.29,14.29%,50.79%,00:01:02,1.24
medical questionaire,49,1.14,6.12%,33.93%,00:03:02,3.06
Mortgage,49,1.35,14.29%,19.70%,00:05:10,4.96
national insurance rates,49,1.20,4.08%,28.81%,00:03:39,3.39
Nepal,49,1.31,16.33%,21.88%,00:04:18,3.86
new address,49,1.14,14.29%,16.07%,00:04:20,1.55
new deal,49,1.39,24.49%,29.41%,00:03:26,4.06
new york,49,1.27,28.57%,43.55%,00:01:50,1.67
next step,49,1.14,30.61%,28.57%,00:02:25,2.06
North Korea,49,1.20,4.08%,52.54%,00:02:54,4.47
nursery nurse,49,1.22,32.65%,21.67%,00:03:28,1.65
parent,49,1.08,18.37%,33.96%,00:02:39,3.08
parental rights,49,1.22,8.16%,28.33%,00:04:17,3.76
Passport office,49,1.14,10.20%,23.21%,00:01:54,2.61
Personal Independence Payment,49,1.24,4.08%,18.03%,00:05:47,5.98
register as self employed,49,1.14,10.20%,21.43%,00:03:01,3.22
register unemployed,49,1.18,20.41%,43.10%,00:02:07,2.14
renewing blue badge,49,1.29,14.29%,9.52%,00:04:20,2.53
replacement passport,49,1.14,2.04%,19.64%,00:05:52,4.37
RIPA,49,1.76,18.37%,10.47%,00:07:50,4.35
se04,49,1.18,4.08%,31.03%,00:03:57,4.98
self cert,49,1.18,8.16%,34.48%,00:01:45,1.73
sen,49,1.45,6.12%,25.35%,00:03:55,4.24
statepension,49,1.20,6.12%,18.64%,00:06:42,4.04
stolen,49,1.16,0.00%,21.05%,00:04:28,2.41
student finance deadline,49,1.20,18.37%,11.86%,00:01:55,3.84
Student loans,49,1.08,0.00%,9.43%,00:03:59,4.00
test routes,49,1.41,20.41%,23.19%,00:02:06,3.06
the pregnancy book,49,1.37,26.53%,17.91%,00:01:24,2.08
tier 4,49,1.29,24.49%,19.05%,00:04:15,2.14
towing a trailer,49,1.29,6.12%,26.98%,00:04:18,4.12
Tupe,49,1.14,2.04%,10.71%,00:07:39,4.31
Uganda,49,1.14,6.12%,33.93%,00:01:39,2.06
update bank details,49,1.04,14.29%,15.69%,00:01:20,2.61
v1,49,1.22,6.12%,26.67%,00:02:30,2.02
18 weeks,48,1.69,12.50%,20.99%,00:04:18,2.96
airport,48,1.31,16.67%,36.51%,00:03:04,2.19
Breaks,48,1.10,4.17%,22.64%,00:03:42,3.40
budgeting,48,1.17,18.75%,17.86%,00:01:20,2.23
changing bank details,48,1.29,12.50%,37.10%,00:02:39,1.98
choosing health,48,1.35,18.75%,30.77%,00:01:12,1.69
Court of Protection,48,1.21,8.33%,17.24%,00:03:18,2.54
crb tracking,48,1.23,12.50%,8.47%,00:02:08,2.42
dbs continuation,48,1.17,6.25%,17.86%,00:01:15,1.69
deposit,48,1.10,14.58%,35.85%,00:02:04,2.46
driving in france,48,1.33,16.67%,15.62%,00:02:39,2.52
dvla local offices,48,1.19,4.17%,14.04%,00:02:35,2.81
emergency travel documents,48,1.12,4.17%,18.52%,00:06:18,4.23
end of life care strategy,48,1.38,10.42%,19.70%,00:02:31,1.81
eritrea,48,1.25,0.00%,38.33%,00:02:37,2.94
expiry,48,1.06,22.92%,47.06%,00:01:36,1.79
fair access to care,48,1.38,29.17%,30.30%,00:02:00,1.42
going abroad,48,1.17,8.33%,41.07%,00:03:19,3.23
governors,48,1.29,4.17%,25.81%,00:03:12,1.58
green,48,1.15,10.42%,47.27%,00:01:39,1.60
green card,48,1.25,27.08%,23.33%,00:02:16,1.83
hpi,48,1.10,39.58%,32.08%,00:00:58,1.48
import duty,48,1.19,10.42%,31.58%,00:03:19,3.42
JOB SEEKERS ALLOWANCE,48,1.08,4.17%,25.00%,00:02:11,2.88
jobcenter plus,48,1.29,14.58%,12.90%,00:03:12,2.75
knowledge and skills framework,48,1.38,20.83%,33.33%,00:02:06,2.98
kurdistan,48,1.44,20.83%,21.74%,00:04:32,2.90
laptops,48,1.23,29.17%,35.59%,00:01:46,2.12
lee rigby,48,1.23,10.42%,5.08%,00:03:22,2.38
licenses,48,1.21,16.67%,56.90%,00:01:48,1.29
Liverpool,48,1.17,39.58%,33.93%,00:00:30,0.83
magistrates,48,1.15,14.58%,9.09%,00:03:22,2.90
medical records,48,1.12,18.75%,51.85%,00:02:15,1.33
mobility cars,48,1.33,45.83%,23.44%,00:03:13,2.21
moldova,48,1.08,0.00%,44.23%,00:02:14,2.94
mot certificate,48,1.17,10.42%,10.71%,00:03:24,2.38
P11D,48,1.33,4.17%,29.69%,00:02:25,2.96
PA1,48,1.31,14.58%,28.57%,00:04:12,3.88
part time job,48,1.29,14.58%,19.35%,00:02:19,2.04
pensioners,48,1.25,10.42%,43.33%,00:03:00,3.38
physical activity,48,1.38,6.25%,21.21%,00:03:26,2.00
PPRS,48,1.40,18.75%,31.34%,00:03:52,1.79
scooter,48,1.29,22.92%,32.26%,00:02:25,2.50
seat belts,48,1.35,2.08%,26.15%,00:03:23,4.77
section 21,48,1.12,25.00%,35.19%,00:01:46,1.92
seychelles,48,1.19,6.25%,40.35%,00:02:57,3.23
sickpay,48,1.52,8.33%,12.33%,00:06:33,8.46
statement,48,1.12,2.08%,50.00%,00:01:40,2.08
statutory maternity,48,1.52,0.00%,21.92%,00:04:42,5.65
student finance login,48,1.08,4.17%,5.77%,00:03:26,2.06
student tax,48,1.33,6.25%,15.62%,00:01:36,2.60
suspension,48,1.10,12.50%,45.28%,00:02:30,3.00
sworn,48,1.06,8.33%,27.45%,00:03:32,1.48
TB,48,1.88,10.42%,36.67%,00:03:50,3.19
theroy,48,1.31,2.08%,14.29%,00:02:10,2.19
tv,48,1.27,2.08%,19.67%,00:02:19,2.19
umbrella,48,1.33,14.58%,17.19%,00:01:07,2.02
universal jobmatch login,48,1.12,12.50%,12.96%,00:03:46,1.50
visa fee,48,1.27,25.00%,22.95%,00:01:56,2.08
work trials,48,1.29,16.67%,17.74%,00:03:13,3.62
Working Tax Credit,48,1.06,0.00%,35.29%,00:03:51,3.33
£3000 for grandchildren,47,1.00,46.81%,0.00%,00:00:01,0.53
absence,47,1.13,10.64%,39.62%,00:04:06,2.45
academies,47,1.26,12.77%,18.64%,00:01:25,2.36
adhd,47,1.47,19.15%,30.43%,00:04:07,4.02
advertising job,47,1.17,4.26%,1.82%,00:02:48,1.98
back to work credit,47,1.11,6.38%,17.31%,00:05:54,5.40
bicycle,47,1.06,25.53%,16.00%,00:02:48,2.64
breach of contract,47,1.19,23.40%,28.57%,00:03:08,2.62
cat c,47,1.23,17.02%,27.59%,00:03:06,3.23
change date,47,1.13,2.13%,9.43%,00:02:18,2.00
change test,47,1.32,10.64%,14.52%,00:03:24,2.17
civil procedure rules,47,1.34,42.55%,28.57%,00:01:48,1.72
contact telephone numbers,47,1.23,10.64%,27.59%,00:01:47,2.17
corfu,47,1.13,21.28%,35.85%,00:01:50,2.64
disabled car tax,47,1.19,10.64%,21.43%,00:05:01,4.11
education and learning,47,1.26,4.26%,64.41%,00:02:07,1.57
Email,47,1.04,23.40%,30.61%,00:03:31,2.49
Employment Support Allowance,47,1.19,0.00%,21.43%,00:05:09,5.55
esa appeals,47,1.28,8.51%,23.33%,00:02:30,3.72
european union,47,1.26,40.43%,32.20%,00:01:43,1.30
exchange,47,1.19,14.89%,32.14%,00:02:59,2.53
fep1,47,1.45,6.38%,14.71%,00:01:44,1.79
finland,47,1.15,4.26%,51.85%,00:01:40,3.72
flexible working request,47,1.13,4.26%,9.43%,00:03:25,4.11
food safety,47,1.21,6.38%,43.86%,00:02:49,3.85
gambling,47,1.36,19.15%,23.44%,00:01:48,2.26
Government Gateway,47,1.11,4.26%,23.08%,00:05:19,3.09
gv79,47,1.40,4.26%,31.82%,00:04:39,3.55
health technical memorandum,47,1.51,8.51%,38.03%,00:04:48,4.21
HOLIDAY ENTITLEMENT,47,1.09,4.26%,11.76%,00:03:52,6.66
hotel,47,1.36,10.64%,20.31%,00:03:33,5.00
hotmail.com,47,1.57,51.06%,8.11%,00:02:48,0.98
Laos,47,1.28,2.13%,38.33%,00:01:57,3.45
legalising documents,47,1.57,0.00%,24.32%,00:09:05,6.47
life in the uk test,47,1.28,4.26%,18.33%,00:02:33,2.00
loft insulation,47,1.30,25.53%,19.67%,00:02:39,2.04
mechanic,47,1.28,12.77%,30.00%,00:03:00,2.45
minimum wage rates,47,1.09,4.26%,9.80%,00:01:33,1.66
minister,47,1.43,12.77%,35.82%,00:02:20,2.68
money,47,1.23,27.66%,37.93%,00:01:45,2.55
new business,47,1.36,10.64%,21.88%,00:03:46,4.64
office,47,1.15,14.89%,31.48%,00:02:23,1.96
passport change of address,47,1.23,12.77%,10.34%,00:03:05,2.74
passport countersignatory,47,1.04,0.00%,4.08%,00:01:57,1.62
Passport expiry,47,1.23,34.04%,32.76%,00:01:25,1.98
prs,47,1.38,6.38%,23.08%,00:02:14,1.43
public transport,47,1.23,17.02%,18.97%,00:01:14,1.72
ramadan,47,1.57,8.51%,17.57%,00:01:22,2.32
rapid reclaim form,47,1.32,4.26%,30.65%,00:04:03,3.91
Rotavirus,47,1.45,4.26%,11.76%,00:03:40,2.85
Savings,47,1.19,17.02%,48.21%,00:02:41,1.96
setting up a business,47,1.17,4.26%,29.09%,00:04:42,5.62
SICK PAY,47,1.38,6.38%,18.46%,00:05:35,5.15
sorn form,47,1.19,6.38%,19.64%,00:02:08,1.64
stolen driving licence,47,1.11,4.26%,3.85%,00:04:06,1.53
stroke strategy,47,1.32,44.68%,37.10%,00:01:31,0.81
tattoo,47,1.55,10.64%,31.51%,00:03:05,4.51
tax allowances,47,1.13,4.26%,30.19%,00:03:59,2.81
tax back,47,1.13,8.51%,22.64%,00:02:59,4.36
Tax rebate,47,1.09,27.66%,23.53%,00:02:13,1.85
time off for dependants,47,1.09,2.13%,33.33%,00:04:51,3.47
travelling to turkey,47,1.26,6.38%,11.86%,00:02:40,3.74
typhoid,47,1.23,4.26%,25.86%,00:02:48,1.62
urgent passport,47,1.19,0.00%,14.29%,00:05:04,4.34
V112,47,1.32,0.00%,27.42%,00:01:22,1.70
widow's pension,47,1.47,21.28%,27.54%,00:04:51,4.87
Appeals,46,1.09,10.87%,28.00%,00:03:04,1.96
benifit fraud,46,1.20,2.17%,14.55%,00:02:20,1.98
bovine tb,46,1.54,13.04%,23.94%,00:04:19,2.63
business plans,46,1.26,2.17%,18.97%,00:02:35,2.83
business start up,46,1.50,8.70%,11.59%,00:04:29,6.00
C2,46,1.50,6.52%,26.09%,00:04:39,3.61
capital gains,46,1.17,4.35%,14.81%,00:06:08,6.04
Carers,46,1.35,17.39%,9.68%,00:03:04,3.09
caution,46,1.50,15.22%,20.29%,00:04:33,3.61
Children,46,1.15,19.57%,35.85%,00:02:10,1.72
Chile,46,1.20,2.17%,49.09%,00:02:20,3.63
CNI,46,1.28,6.52%,30.51%,00:05:53,3.59
Colombia,46,1.26,0.00%,41.38%,00:03:08,3.50
communities,46,1.17,4.35%,53.70%,00:02:38,2.63
Cost,46,1.04,10.87%,60.42%,00:01:29,0.89
Countersignatory,46,1.15,0.00%,13.21%,00:03:13,1.89
d46p,46,1.17,6.52%,14.81%,00:03:34,2.89
deputyship,46,1.22,13.04%,10.71%,00:02:18,3.02
digital passport,46,1.20,23.91%,14.55%,00:03:43,2.26
disabled badge,46,1.13,0.00%,30.77%,00:02:53,2.65
disabled tax,46,1.20,8.70%,32.73%,00:03:32,3.46
EESA,46,1.22,23.91%,42.86%,00:01:11,2.04
email dvla,46,1.17,2.17%,9.26%,00:01:53,1.98
Ethiopia,46,1.07,0.00%,40.82%,00:02:25,2.17
family law,46,1.26,30.43%,31.03%,00:02:11,1.43
find jobs,46,1.11,15.22%,5.88%,00:01:57,1.30
form v62,46,1.24,10.87%,17.54%,00:01:43,1.39
goa,46,1.20,15.22%,34.55%,00:02:14,2.35
Gobind Singh Kang,46,39.20,100.00%,0.00%,00:37:32,0.00
going into hospital,46,1.43,23.91%,34.85%,00:03:10,2.48
gran canaria,46,1.26,23.91%,51.72%,00:01:02,1.37
greenbook,46,1.22,13.04%,55.36%,00:01:32,1.57
hazard test,46,1.65,19.57%,17.11%,00:02:26,2.54
Hong Kong,46,1.13,6.52%,30.77%,00:04:46,4.13
horse,46,1.33,17.39%,31.15%,00:05:04,3.26
hours,46,1.24,13.04%,35.09%,00:02:34,3.13
house benefit,46,1.13,13.04%,23.08%,00:06:15,4.11
housing grant,46,1.22,30.43%,16.07%,00:02:41,3.74
innovation health and wealth,46,1.46,30.43%,14.93%,00:02:15,1.96
is my car taxed,46,1.20,30.43%,12.73%,00:02:47,2.02
job application form,46,1.30,6.52%,21.67%,00:04:18,3.50
Jobcentre,46,1.15,26.09%,16.98%,00:01:27,2.59
kitchen porter,46,1.57,15.22%,20.83%,00:02:47,1.98
lagos,46,1.22,15.22%,28.57%,00:02:33,1.78
lithuania,46,1.13,4.35%,51.92%,00:02:16,2.74
locate service,46,1.20,26.09%,38.18%,00:02:10,2.70
medicines,46,1.52,15.22%,31.43%,00:03:39,3.04
modaf,46,1.54,0.00%,4.23%,00:04:02,2.98
moj,46,1.30,8.70%,38.33%,00:01:58,2.65
mumbai,46,1.20,13.04%,18.18%,00:03:09,3.02
News,46,1.13,30.43%,30.77%,00:01:01,1.24
nurse,46,1.26,28.26%,22.41%,00:01:54,1.98
opg100,46,1.13,4.35%,17.31%,00:02:53,2.11
opting out,46,1.13,8.70%,34.62%,00:02:54,2.57
Payment,46,1.13,15.22%,53.85%,00:01:11,1.20
penalty,46,1.37,0.00%,33.33%,00:03:47,3.11
Pension calculator,46,1.20,10.87%,12.73%,00:03:27,3.61
PENSION CREDITS,46,1.28,8.70%,13.56%,00:02:29,4.63
performance tables,46,1.26,6.52%,15.52%,00:01:47,2.02
Philippines,46,1.24,0.00%,31.58%,00:03:57,3.39
pinch point,46,1.20,13.04%,25.45%,00:03:26,2.87
pips,46,1.13,4.35%,19.23%,00:04:34,7.28
police check,46,1.22,8.70%,25.00%,00:03:01,1.98
pova,46,1.52,6.52%,28.57%,00:02:49,1.80
ppl,46,1.13,4.35%,13.46%,00:02:34,1.48
ppp,46,1.48,10.87%,36.76%,00:04:39,3.87
proof of identity,46,1.11,15.22%,43.14%,00:02:17,1.63
register a birth,46,1.24,10.87%,22.81%,00:04:08,3.67
renewal fees,46,1.11,4.35%,54.90%,00:02:30,1.98
road fund licence,46,1.13,23.91%,32.69%,00:01:57,1.48
rotovirus,46,1.26,8.70%,50.00%,00:02:26,2.00
Security,46,1.33,17.39%,26.23%,00:04:23,3.63
self certification form,46,1.63,10.87%,24.00%,00:03:04,3.24
Sickness,46,1.26,6.52%,27.59%,00:03:32,4.39
spending review 2013,46,1.28,34.78%,23.73%,00:02:59,2.07
tariff code,46,1.09,2.17%,44.00%,00:04:10,4.37
tax disc not arrived,46,1.22,4.35%,19.64%,00:02:20,2.26
tenancy,46,1.20,6.52%,36.36%,00:02:52,3.61
Track,46,1.00,6.52%,4.35%,00:01:52,1.67
valuing people now,46,1.28,8.70%,23.73%,00:03:12,1.96
waitress,46,1.17,23.91%,12.96%,00:02:10,1.35
war pension,46,1.22,21.74%,19.64%,00:02:50,2.15
Work experience,46,1.30,39.13%,6.67%,00:01:31,2.00
a1,45,1.22,11.11%,40.00%,00:02:42,2.02
adr,45,1.24,2.22%,25.00%,00:02:32,2.53
affordable housing,45,1.38,17.78%,14.52%,00:04:50,2.47
apprentaships,45,1.27,2.22%,17.54%,00:02:59,2.36
armed forces,45,1.36,15.56%,39.34%,00:03:53,2.89
bank holidays 2013,45,1.31,4.44%,10.17%,00:00:42,1.42
Benefits calculator,45,1.20,8.89%,11.11%,00:05:18,2.49
Bolivia,45,1.09,2.22%,48.98%,00:04:58,3.38
business support,45,1.22,28.89%,32.73%,00:03:17,2.62
CA5403,45,1.49,11.11%,17.91%,00:05:32,1.78
CA72B,45,1.40,4.44%,7.94%,00:03:23,2.93
carpenter,45,1.42,24.44%,7.81%,00:01:30,1.93
ccg1,45,1.20,4.44%,20.37%,00:04:08,4.73
childminding,45,1.11,8.89%,10.00%,00:04:22,3.00
childrens passports,45,1.20,4.44%,12.96%,00:04:31,4.80
community,45,1.27,17.78%,47.37%,00:02:38,1.71
contact esa,45,1.09,8.89%,12.24%,00:02:38,2.67
covering letter,45,1.09,62.22%,26.53%,00:01:37,0.51
cycle to work scheme,45,1.69,26.67%,17.11%,00:04:45,2.02
data protection statement,45,1.31,15.56%,20.34%,00:03:57,3.87
de,45,1.42,4.44%,29.69%,00:03:03,2.64
death certification,45,1.93,15.56%,16.09%,00:04:33,3.40
doctor,45,1.18,35.56%,39.62%,00:01:02,1.00
elderly care,45,1.13,24.44%,39.22%,00:02:36,1.87
energy efficiency,45,1.49,8.89%,20.90%,00:03:13,2.78
eu students,45,1.31,11.11%,16.95%,00:04:23,4.09
european health,45,1.20,42.22%,46.30%,00:01:00,0.47
foreign and commonwealth office,45,1.27,13.33%,21.05%,00:05:32,4.07
free courses,45,1.38,15.56%,16.13%,00:04:08,4.02
how to apply,45,1.24,15.56%,44.64%,00:03:32,2.91
ict,45,1.36,17.78%,32.79%,00:02:05,3.02
income based jsa,45,1.24,15.56%,33.93%,00:04:07,3.04
intermediate care,45,1.33,26.67%,35.00%,00:02:19,1.96
Jobseekers allowance,45,1.20,0.00%,12.96%,00:04:44,3.84
lawyer,45,1.20,15.56%,29.63%,00:01:28,2.18
lha rates,45,1.16,15.56%,28.85%,00:01:36,2.13
local jobs,45,1.31,13.33%,15.25%,00:02:42,1.78
localism,45,1.13,17.78%,39.22%,00:05:00,2.76
LPA001,45,1.24,8.89%,42.86%,00:03:45,3.51
make an appointment,45,1.20,17.78%,31.48%,00:03:55,3.38
New claim,45,1.09,11.11%,28.57%,00:03:15,3.31
notifiable diseases,45,1.22,13.33%,32.73%,00:00:52,1.20
online forms,45,1.36,8.89%,45.90%,00:03:03,2.24
passport applications,45,1.27,4.44%,12.28%,00:04:06,5.07
passport expiry date,45,1.36,22.22%,29.51%,00:02:32,2.53
PENSION AGE,45,1.33,4.44%,10.00%,00:04:26,8.76
phonics,45,1.42,20.00%,18.75%,00:02:07,2.18
photo licence,45,1.20,11.11%,31.48%,00:04:00,2.00
pip toolkit,45,1.27,13.33%,29.82%,00:02:45,3.67
psv,45,1.16,11.11%,32.69%,00:02:18,2.89
PW1,45,1.58,17.78%,33.80%,00:01:59,2.36
rape,45,1.42,20.00%,34.38%,00:04:14,3.53
refunds,45,1.29,13.33%,18.97%,00:02:47,2.04
retail assistant,45,1.44,11.11%,10.77%,00:03:19,1.98
school uniform,45,1.20,4.44%,11.11%,00:05:19,3.24
scrap metal,45,1.47,13.33%,16.67%,00:04:16,3.13
security officer,45,1.87,24.44%,16.67%,00:03:19,1.29
sfe,45,1.16,4.44%,19.23%,00:02:37,3.51
sheffield,45,1.07,17.78%,33.33%,00:01:19,1.40
shop assistant,45,1.31,28.89%,20.34%,00:01:46,1.67
Show me tell me,45,1.16,24.44%,21.15%,00:02:49,2.49
skills tests,45,1.18,28.89%,56.60%,00:00:17,0.22
SOCIAL FUND,45,1.22,6.67%,21.82%,00:03:25,4.16
solicitors,45,1.22,8.89%,21.82%,00:04:22,2.84
start up loans,45,1.31,15.56%,22.03%,00:04:21,3.82
subject access request,45,1.82,24.44%,15.85%,00:04:35,3.09
tax my car,45,1.00,2.22%,13.33%,00:02:26,1.56
terminal illness,45,1.40,26.67%,12.70%,00:02:38,4.13
tractors,45,1.33,8.89%,20.00%,00:02:53,3.80
travel vaccinations,45,1.44,15.56%,26.15%,00:02:21,2.40
vehicle details,45,1.11,0.00%,10.00%,00:01:53,1.87
adi theory test,44,1.32,0.00%,17.24%,00:03:42,2.82
afganistan,44,1.23,2.27%,62.96%,00:02:44,2.16
applications,44,1.16,18.18%,35.29%,00:01:23,1.39
apply for jobseekers,44,1.14,4.55%,14.00%,00:03:14,3.64
Barbados,44,1.05,4.55%,47.83%,00:02:52,2.82
bereavment,44,1.25,2.27%,41.82%,00:03:28,3.59
birthday honours list,44,1.14,11.36%,6.00%,00:03:14,2.32
budgeting loan contact number,44,1.32,13.64%,15.52%,00:02:17,4.50
burundi,44,1.14,2.27%,44.00%,00:02:50,2.18
carbon,44,1.32,18.18%,34.48%,00:02:58,2.14
casual workers,44,1.32,15.91%,34.48%,00:03:56,3.68
change name on passport,44,1.20,6.82%,13.21%,00:04:06,3.39
chc,44,1.18,4.55%,73.08%,00:00:36,0.93
child care vouchers,44,1.18,9.09%,21.15%,00:02:52,2.52
CHILD TAX CREDIT,44,1.07,2.27%,14.89%,00:04:49,3.55
childcare costs,44,1.20,6.82%,28.30%,00:02:49,4.05
circulars,44,1.52,13.64%,41.79%,00:04:07,3.34
community nursing,44,1.57,13.64%,18.84%,00:04:45,2.75
contact hmrc,44,1.27,45.45%,25.00%,00:04:38,1.23
contract finder,44,1.32,0.00%,10.34%,00:02:54,1.86
convictions,44,1.75,6.82%,29.87%,00:03:41,3.86
crb forms,44,1.27,11.36%,35.71%,00:02:56,2.77
D1 application form,44,1.14,9.09%,24.00%,00:02:54,2.14
death grant,44,1.18,11.36%,26.92%,00:03:43,5.16
Department of health,44,1.14,18.18%,42.00%,00:02:47,3.25
deputy,44,1.43,9.09%,19.05%,00:05:59,5.20
dio,44,1.82,4.55%,28.75%,00:03:51,4.00
diplomatic list,44,1.34,4.55%,11.86%,00:03:46,2.82
direct access,44,1.27,9.09%,28.57%,00:04:29,3.98
disabled student allowance,44,1.18,4.55%,3.85%,00:05:05,4.16
double glazing,44,1.16,18.18%,29.41%,00:02:37,3.07
eyesight,44,1.32,2.27%,15.52%,00:01:54,2.14
feedback,44,1.23,9.09%,38.89%,00:05:28,2.68
flag,44,1.70,25.00%,13.33%,00:02:05,2.64
green book immunisations,44,1.14,0.00%,20.00%,00:02:34,4.77
guyana,44,1.11,0.00%,40.82%,00:03:45,3.57
gym,44,1.18,18.18%,46.15%,00:01:54,2.52
head lice,44,1.25,36.36%,41.82%,00:00:48,0.68
Help,44,1.25,29.55%,25.45%,00:02:59,2.41
historic vehicle,44,1.43,6.82%,26.98%,00:02:52,2.95
how long does it take to get a passport,44,1.25,9.09%,12.73%,00:02:59,2.93
how to advertise a job,44,1.11,2.27%,4.08%,00:01:48,1.89
laws,44,1.66,18.18%,36.99%,00:02:03,2.14
life certificate,44,1.36,15.91%,38.33%,00:02:38,2.61
m1,44,1.20,11.36%,26.42%,00:01:31,1.39
marrakech,44,1.32,15.91%,25.86%,00:02:22,4.25
medicine,44,1.25,15.91%,41.82%,00:03:40,2.68
mot exemption,44,1.55,11.36%,22.06%,00:03:09,2.57
mot reminder,44,1.30,9.09%,14.04%,00:02:06,1.77
my benefit online,44,1.16,27.27%,47.06%,00:03:16,2.23
nsf,44,1.43,4.55%,34.92%,00:01:10,1.34
Nursery,44,1.16,20.45%,11.76%,00:02:23,2.11
online services,44,1.27,25.00%,23.21%,00:02:32,1.23
paper driving license,44,1.20,18.18%,18.87%,00:02:29,2.36
passport documents,44,1.16,15.91%,19.61%,00:02:02,2.02
pay calculator,44,1.23,38.64%,35.19%,00:00:59,1.50
penalties,44,1.23,2.27%,50.00%,00:02:52,2.18
placement,44,1.23,34.09%,35.19%,00:01:39,2.64
planning policy,44,1.41,11.36%,32.26%,00:01:51,1.89
postgraduate funding,44,1.23,4.55%,12.96%,00:04:34,3.50
PPI,44,1.23,47.73%,31.48%,00:00:41,0.64
PR1,44,1.20,6.82%,20.75%,00:02:18,4.20
probation period,44,1.27,34.09%,39.29%,00:01:46,1.61
Recruitment,44,1.39,15.91%,21.31%,00:03:44,3.91
rule 174,44,1.09,0.00%,22.92%,00:02:04,3.16
sanctionsconlist,44,1.43,11.36%,46.03%,00:03:40,3.11
severe disability allowance,44,1.25,11.36%,36.36%,00:04:04,4.30
small business grants,44,1.32,20.45%,20.69%,00:05:56,5.68
speeding fines,44,1.48,9.09%,23.08%,00:03:28,3.80
SPP,44,1.20,2.27%,20.75%,00:02:48,5.25
State pension age,44,1.30,9.09%,10.53%,00:03:31,5.02
sustainable development,44,1.41,27.27%,24.19%,00:04:16,1.93
Vat,44,1.18,15.91%,15.38%,00:02:39,2.27
Vehicle enquiry,44,1.16,0.00%,9.80%,00:01:51,2.16
vehicle history,44,1.25,11.36%,25.45%,00:02:48,2.25
vehicle search,44,1.18,9.09%,30.77%,00:01:38,1.82
visa for turkey,44,1.23,13.64%,22.22%,00:01:06,1.61
VISAS,44,1.20,13.64%,35.85%,00:03:36,3.05
vitamin d,44,1.82,11.36%,8.75%,00:03:12,2.57
weather,44,1.34,31.82%,35.59%,00:01:05,1.36
working visa,44,1.39,11.36%,21.31%,00:02:07,1.89
www.gov.uk/jsaonline,44,1.20,2.27%,16.98%,00:06:06,4.39
Access to work,43,1.26,11.63%,14.81%,00:02:56,3.44
awards,43,1.40,16.28%,31.67%,00:03:02,2.77
B,43,1.05,18.60%,42.22%,00:00:54,0.91
bank holiday payments,43,1.51,6.98%,18.46%,00:02:23,2.28
Bankruptcy,43,1.12,6.98%,16.67%,00:05:37,3.77
basic employment rights,43,1.21,11.63%,71.15%,00:05:58,3.77
bcg,43,1.37,18.60%,45.76%,00:01:08,1.33
Benefit cap,43,1.42,2.33%,24.59%,00:05:27,3.47
book a test,43,1.16,2.33%,18.00%,00:02:29,2.28
booking,43,1.33,4.65%,38.60%,00:05:40,3.16
br20,43,1.26,4.65%,9.26%,00:03:03,3.40
